index,code,name,network,location,elevation_m,site_property
SNOTEL:312_ID_SNTL,312_ID_SNTL,Banner Summit,SNOTEL,"{'latitude': '44.303421020507813', 'longitude': '-115.23446655273438'}",2145.7919921875,"{'county': 'Boise', 'state': 'Idaho', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170501200202|HUD=17050120|TimeZone=-8.0|actonId=15E11S|shefId=BASI1|stationTriplet=312:ID:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:1212_AZ_SNTL,1212_AZ_SNTL,Bar M,SNOTEL,"{'latitude': '34.861358642578125', 'longitude': '-111.60502624511719'}",1948.58642578125,"{'county': 'Coconino', 'state': 'Arizona', 'site_comments': 'beginDate=9/6/2012 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=150602020601|HUD=15060202|TimeZone=-8.0|actonId=11R13S|shefId=BRMA3|stationTriplet=1212:AZ:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:313_MT_SNTL,313_MT_SNTL,Barker Lakes,SNOTEL,"{'latitude': '46.097129821777344', 'longitude': '-113.13037872314453'}",2514.60009765625,"{'county': 'Deer Lodge', 'state': 'Montana', 'site_comments': 'beginDate=8/1/1977 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102010304|HUD=17010201|TimeZone=-8.0|actonId=13C44S|shefId=BRLM8|stationTriplet=313:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:314_WY_SNTL,314_WY_SNTL,Base Camp,SNOTEL,"{'latitude': '43.940189361572266', 'longitude': '-110.44544219970703'}",2151.887939453125,"{'county': 'Teton', 'state': 'Wyoming', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170401010304|HUD=17040101|TimeZone=-8.0|actonId=10F02S|shefId=BSCW4|stationTriplet=314:WY:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:315_MT_SNTL,315_MT_SNTL,Basin Creek,SNOTEL,"{'latitude': '45.797370910644531', 'longitude': '-112.52046966552734'}",2188.464111328125,"{'county': 'Silver Bow', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1976 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102010201|HUD=10020005|TimeZone=-8.0|actonId=12D09S|shefId=BSCM8|stationTriplet=315:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:316_NM_SNTL,316_NM_SNTL,Bateman,SNOTEL,"{'latitude': '36.512161254882813', 'longitude': '-106.3212890625'}",2834.639892578125,"{'county': 'Rio Arriba', 'state': 'New Mexico', 'site_comments': 'beginDate=10/1/1978 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=130201020901|HUD=13020102|TimeZone=-8.0|actonId=06N04S|shefId=BAMN5|stationTriplet=316:NM:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:317_WY_SNTL,317_WY_SNTL,Battle Mountain,SNOTEL,"{'latitude': '41.054130554199219', 'longitude': '-107.26609039306641'}",2267.7119140625,"{'county': 'Carbon', 'state': 'Wyoming', 'site_comments': 'beginDate=10/1/1985 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140500030109|HUD=14050003|TimeZone=-8.0|actonId=07H04S|shefId=BTLW4|stationTriplet=317:WY:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:318_MT_SNTL,318_MT_SNTL,Beagle Springs,SNOTEL,"{'latitude': '44.471469879150391', 'longitude': '-112.98191070556641'}",2697.47998046875,"{'county': 'Beaverhead', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1976 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200010501|HUD=10020001|TimeZone=-8.0|actonId=12E08S|shefId=BEAM8|stationTriplet=318:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:319_ID_SNTL,319_ID_SNTL,Bear Basin,SNOTEL,"{'latitude': '44.952220916748047', 'longitude': '-116.14292907714844'}",1630.6800537109375,"{'county': 'Adams', 'state': 'Idaho', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170602100104|HUD=17060210|TimeZone=-8.0|actonId=16E11S|shefId=BRBI1|stationTriplet=319:ID:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:320_ID_SNTL,320_ID_SNTL,Bear Canyon,SNOTEL,"{'latitude': '43.743671417236328', 'longitude': '-113.93797302246094'}",2407.919921875,"{'county': 'Custer', 'state': 'Idaho', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170402180101|HUD=17040218|TimeZone=-8.0|actonId=13F03S|shefId=BECI1|stationTriplet=320:ID:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:321_NV_SNTL,321_NV_SNTL,Bear Creek,SNOTEL,"{'latitude': '41.833839416503906', 'longitude': '-115.45278167724609'}",2450.592041015625,"{'county': 'Elko', 'state': 'Nevada', 'site_comments': 'beginDate=3/1/1976 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170501020301|HUD=17050102|TimeZone=-8.0|actonId=15H01S|shefId=BERN2|stationTriplet=321:NV:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:1166_OR_SNTL,1166_OR_SNTL,Bear Grass,SNOTEL,"{'latitude': '44.325298309326172', 'longitude': '-122.09380340576172'}",1438.656005859375,"{'county': 'Linn', 'state': 'Oregon', 'site_comments': 'beginDate=7/18/2011 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170900040203|HUD=17090004|TimeZone=-8.0|actonId=22E10S|shefId=BKSO3|stationTriplet=1166:OR:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:322_CO_SNTL,322_CO_SNTL,Bear Lake,SNOTEL,"{'latitude': '40.311180114746094', 'longitude': '-105.64482879638672'}",2895.60009765625,"{'county': 'Larimer', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=101900060201|HUD=10190006|TimeZone=-8.0|actonId=05J39S|shefId=BLKC2|stationTriplet=322:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:323_ID_SNTL,323_ID_SNTL,Bear Mountain,SNOTEL,"{'latitude': '48.305770874023438', 'longitude': '-116.07447814941406'}",1645.9200439453125,"{'county': 'Bonner', 'state': 'Idaho', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102131202|HUD=17010213|TimeZone=-8.0|actonId=16A08S|shefId=BRMI1|stationTriplet=323:ID:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:1061_CO_SNTL,1061_CO_SNTL,Bear River,SNOTEL,"{'latitude': '40.061531066894531', 'longitude': '-107.00955200195313'}",2767.583984375,"{'county': 'Routt', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/2004 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140500010102|HUD=14050001|TimeZone=-8.0|actonId=07J03S|shefId=BRRC2|stationTriplet=1061:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:992_UT_SNTL,992_UT_SNTL,Bear River RS,SNOTEL,"{'latitude': '40.885200500488281', 'longitude': '-110.82769775390625'}",2675.2294921875,"{'county': 'Summit', 'state': 'Utah', 'site_comments': 'beginDate=10/28/2010 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160101010106|HUD=16010101|TimeZone=-8.0|actonId=10J17S|shefId=STLU1|stationTriplet=992:UT:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:324_ID_SNTL,324_ID_SNTL,Bear Saddle,SNOTEL,"{'latitude': '44.605331420898438', 'longitude': '-116.98097229003906'}",1883.6639404296875,"{'county': 'Washington', 'state': 'Idaho', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170501241001|HUD=17050201|TimeZone=-8.0|actonId=16E10S|shefId=BSDI1|stationTriplet=324:ID:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:325_WY_SNTL,325_WY_SNTL,Bear Trap Meadow,SNOTEL,"{'latitude': '43.887428283691406', 'longitude': '-107.06134796142578'}",2499.360107421875,"{'county': 'Johnson', 'state': 'Wyoming', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100902010205|HUD=10090201|TimeZone=-8.0|actonId=07F01S|shefId=BTNW4|stationTriplet=325:WY:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:326_WY_SNTL,326_WY_SNTL,Beartooth Lake,SNOTEL,"{'latitude': '44.943069458007813', 'longitude': '-109.56742858886719'}",2852.927978515625,"{'county': 'Park', 'state': 'Wyoming', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100700060206|HUD=10070006|TimeZone=-8.0|actonId=09E10S|shefId=BLTW4|stationTriplet=326:WY:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:327_CO_SNTL,327_CO_SNTL,Beartown,SNOTEL,"{'latitude': '37.714088439941406', 'longitude': '-107.51212310791016'}",3535.679931640625,"{'county': 'Mineral', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=130100010104|HUD=13010001|TimeZone=-8.0|actonId=07M32S|shefId=BRTC2|stationTriplet=327:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:1041_CO_SNTL,1041_CO_SNTL,Beaver Ck Village,SNOTEL,"{'latitude': '39.599170684814453', 'longitude': '-106.51142120361328'}",2590.800048828125,"{'county': 'Eagle', 'state': 'Colorado', 'site_comments': 'beginDate=11/1/2002 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140100030301|HUD=14010003|TimeZone=-8.0|actonId=06K45S|shefId=BCVC2|stationTriplet=1041:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:328_MT_SNTL,328_MT_SNTL,Beaver Creek,SNOTEL,"{'latitude': '44.949661254882813', 'longitude': '-111.3585205078125'}",2392.679931640625,"{'county': 'Gallatin', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1966 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200070402|HUD=10020007|TimeZone=-8.0|actonId=11E38S|shefId=BEVM8|stationTriplet=328:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:329_UT_SNTL,329_UT_SNTL,Beaver Dams,SNOTEL,"{'latitude': '39.1368293762207', 'longitude': '-111.55812835693359'}",2435.35205078125,"{'county': 'Sanpete', 'state': 'Utah', 'site_comments': 'beginDate=6/18/1980 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160300040402|HUD=16030004|TimeZone=-8.0|actonId=11K13S|shefId=BVDU1|stationTriplet=329:UT:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:330_UT_SNTL,330_UT_SNTL,Beaver Divide,SNOTEL,"{'latitude': '40.612331390380859', 'longitude': '-111.09781646728516'}",2523.743896484375,"{'county': 'Summit', 'state': 'Utah', 'site_comments': 'beginDate=10/1/1978 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160202030105|HUD=16020203|TimeZone=-8.0|actonId=11J46S|shefId=NWZU1|stationTriplet=330:UT:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:902_AZ_SNTL,902_AZ_SNTL,Beaver Head,SNOTEL,"{'latitude': '33.691440582275391', 'longitude': '-109.21656799316406'}",2435.35205078125,"{'county': 'Greenlee', 'state': 'Arizona', 'site_comments': 'beginDate=10/1/1993 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=150601010107|HUD=15040004|TimeZone=-8.0|actonId=09S06S|shefId=XBHA3|stationTriplet=902:AZ:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:990_WA_SNTL,990_WA_SNTL,Beaver Pass,SNOTEL,"{'latitude': '48.879299163818359', 'longitude': '-121.25550079345703'}",1106.4239501953125,"{'county': 'Whatcom', 'state': 'Washington', 'site_comments': 'beginDate=10/1/2000 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=171100050605|HUD=17110005|TimeZone=-8.0|actonId=21A01S|shefId=BVPW1|stationTriplet=990:WA:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:331_OR_SNTL,331_OR_SNTL,Beaver Reservoir,SNOTEL,"{'latitude': '45.145320892333984', 'longitude': '-118.21900177001953'}",1569.719970703125,"{'county': 'Union', 'state': 'Oregon', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170601040301|HUD=17060104|TimeZone=-8.0|actonId=18D09S|shefId=BVRO3|stationTriplet=331:OR:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:1143_AZ_SNTL,1143_AZ_SNTL,Beaver Spring,SNOTEL,"{'latitude': '36.326778411865234', 'longitude': '-109.05711364746094'}",2804.159912109375,"{'county': 'Apache', 'state': 'Arizona', 'site_comments': 'beginDate=10/1/2009 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140802040401|HUD=14080204|TimeZone=-8.0|actonId=09N05S|shefId=BVRA3|stationTriplet=1143:AZ:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:332_UT_SNTL,332_UT_SNTL,Ben Lomond Peak,SNOTEL,"{'latitude': '41.376029968261719', 'longitude': '-111.94405364990234'}",2343.607177734375,"{'county': 'Weber', 'state': 'Utah', 'site_comments': 'beginDate=10/1/1978 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160201020302|HUD=16020102|TimeZone=-8.0|actonId=11H08S|shefId=BLPU1|stationTriplet=332:UT:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:333_UT_SNTL,333_UT_SNTL,Ben Lomond Trail,SNOTEL,"{'latitude': '41.382911682128906', 'longitude': '-111.92102813720703'}",1820.265625,"{'county': 'Weber', 'state': 'Utah', 'site_comments': 'beginDate=6/3/1980 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160201020302|HUD=16020102|TimeZone=-8.0|actonId=11H30S|shefId=BLTU1|stationTriplet=333:UT:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:251_ID_SNTL,251_ID_SNTL,Bennett Mountain,SNOTEL,"{'latitude': '43.266670227050781', 'longitude': '-115.43332672119141'}",1999.488037109375,"{'county': 'Elmore', 'state': 'Idaho', 'site_comments': 'beginDate=8/16/1980 12:00:00 AM|endDate=10/1/1988 12:00:00 AM|HUC=170501130804|HUD=17050114|TimeZone=-8.0|actonId=|shefId=BMTI1|stationTriplet=251:ID:SNTL|isActive=False', 'pos_accuracy_m': '0'}"
SNOTEL:1086_AK_SNTL,1086_AK_SNTL,Bentalit Lodge,SNOTEL,"{'latitude': '61.93682861328125', 'longitude': '-150.982666015625'}",45.720001220703125,"{'county': 'Matanuska-Susitna', 'state': 'Alaska', 'site_comments': 'beginDate=1/1/2006 12:00:00 AM|endDate=6/28/2013 12:00:00 PM|HUC=190205042001|HUD=19020504|TimeZone=-9.0|actonId=50M05S|shefId=BLSA2|stationTriplet=1086:AK:SNTL|isActive=False', 'pos_accuracy_m': '0'}"
SNOTEL:334_NV_SNTL,334_NV_SNTL,Berry Creek,SNOTEL,"{'latitude': '39.319171905517578', 'longitude': '-114.62277984619141'}",2858.109619140625,"{'county': 'White Pine', 'state': 'Nevada', 'site_comments': 'beginDate=10/1/1980 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160600081301|HUD=16060008|TimeZone=-8.0|actonId=14K02S|shefId=BRCN2|stationTriplet=334:NV:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
